Input_FileName, Date, Time, Gain_Settings, Satellite, Lead_File, Therm_File, QA_File, Output_File, GeoTIFF, Proc_sys, Reduce_masking, no_masking, fmask, cldpix, sdpix, snpix, cldprob
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70040562003031PFS00\L7004056_20030131_raw, 31012003, 1436, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70040562003031PFS00\L7004056_20030131_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70040562003031PFS00\L7004056_20030131_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050552003006PFS00\L7005055_20030106_raw, 06012003, 1441, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050552003006PFS00\L7005055_20030106_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050552003006PFS00\L7005055_20030106_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050562003022PFS00\L7005056_20030122_raw, 22012003, 1442, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050562003022PFS00\L7005056_20030122_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050562003022PFS00\L7005056_20030122_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050572003022PFS00\L7005057_20030122_raw, 22012003, 1442, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050572003022PFS00\L7005057_20030122_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70050572003022PFS00\L7005057_20030122_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060552003045AGS00\L7006055_20030214_raw, 14022003, 1448, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060552003045AGS00\L7006055_20030214_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060552003045AGS00\L7006055_20030214_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060562003013EDC00\L7006056_20030113_raw, 13012003, 1448, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060562003013EDC00\L7006056_20030113_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060562003013EDC00\L7006056_20030113_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060572003045EDC01\L7006057_20030214_raw, 14022003, 1449, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060572003045EDC01\L7006057_20030214_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060572003045EDC01\L7006057_20030214_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060582003013PFS00\L7006058_20030113_raw, 13012003, 1449, HHHLHH, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060582003013PFS00\L7006058_20030113_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70060582003013PFS00\L7006058_20030113_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070562003004AGS00\L7007056_20030104_raw, 04012003, 1454, LLLLLL, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070562003004AGS00\L7007056_20030104_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070562003004AGS00\L7007056_20030104_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070572003004AGS00\L7007057_20030104_raw, 04012003, 1454, LLLLLL, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070572003004AGS00\L7007057_20030104_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070572003004AGS00\L7007057_20030104_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070582003004AGS00\L7007058_20030104_raw, 04012003, 1455, LLLLLL, 1, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070582003004AGS00\L7007058_20030104_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LE70070582003004AGS00\L7007058_20030104_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LT50040572003359CUB00\L5004057_20031225_raw, 25122003, 1426, , 2, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LT50040572003359CUB00\L5004057_20031225_therm, , C:\amsantac\PhD\Research\dissertation\data\landsat\images\2003\LT50040572003359CUB00\L5004057_20031225_refl, 0, 0, 0, 1, 0, 3, 3, 0, 22.5
